date,serial_number,model,capacity_bytes,failure,smart_1_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_12_raw,smart_187_raw,smart_188_raw,smart_190_raw,smart_191_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_195_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
2023-01-10,ZA100HQP,ST8000DM002,8001563222016,0,114418808.0,5.0,0.0,3723200189.0,57459.0,5.0,0.0,0.0,23.0,16454.0,1.0,58757.0,23.0,114418808.0,0.0,0.0,0.0,57433.0,108792485808.0,430399526308.0
2023-01-01,ZA100HR2,ST8000DM002,8001563222016,0,162084104.0,5.0,0.0,3511105030.0,57235.0,5.0,0.0,0.0,23.0,13475.0,1.0,60838.0,23.0,162084104.0,0.0,0.0,0.0,57209.0,108121983848.0,445655304060.0
2023-01-02,ZA100HR2,ST8000DM002,8001563222016,0,123512424.0,5.0,0.0,3518593300.0,57259.0,5.0,0.0,0.0,23.0,13479.0,1.0,60838.0,23.0,123512424.0,0.0,0.0,0.0,57232.0,108155610368.0,445830140780.0
2023-01-03,ZA100HR2,ST8000DM002,8001563222016,0,190174944.0,5.0,0.0,3523779247.0,57282.0,5.0,0.0,0.0,23.0,13481.0,1.0,60854.0,23.0,190174944.0,0.0,0.0,0.0,57256.0,108182898784.0,446115316028.0
2023-01-04,ZA100HR2,ST8000DM002,8001563222016,0,98066704.0,5.0,0.0,3530462437.0,57318.0,5.0,0.0,0.0,23.0,13485.0,1.0,60905.0,23.0,98066704.0,0.0,0.0,0.0,57291.0,108236597856.0,446459806636.0
2023-01-05,ZA100HR2,ST8000DM002,8001563222016,0,122928592.0,5.0,0.0,3534929620.0,57341.0,5.0,0.0,0.0,23.0,13488.0,1.0,60941.0,23.0,122928592.0,0.0,0.0,0.0,57315.0,108269678688.0,446696528268.0
2023-01-06,ZA100HR2,ST8000DM002,8001563222016,0,140452584.0,5.0,0.0,3539551081.0,57365.0,5.0,0.0,0.0,23.0,13494.0,1.0,60966.0,23.0,140452584.0,0.0,0.0,0.0,57339.0,108306218088.0,446923828452.0
2023-01-07,ZA100HR2,ST8000DM002,8001563222016,0,176110624.0,5.0,0.0,3543916554.0,57389.0,5.0,0.0,0.0,23.0,13498.0,1.0,60988.0,23.0,176110624.0,0.0,0.0,0.0,57363.0,108338732848.0,447174358476.0
2023-01-08,ZA100HR2,ST8000DM002,8001563222016,0,85741328.0,5.0,0.0,3549736902.0,57413.0,5.0,0.0,0.0,23.0,13499.0,1.0,60991.0,23.0,85741328.0,0.0,0.0,0.0,57386.0,108370969560.0,447296086756.0
2023-01-09,ZA100HR2,ST8000DM002,8001563222016,0,83506280.0,5.0,0.0,3555360105.0,57436.0,5.0,0.0,0.0,23.0,13502.0,1.0,61009.0,23.0,83506280.0,0.0,0.0,0.0,57410.0,108406356688.0,447502947804.0
2023-01-10,ZA100HR2,ST8000DM002,8001563222016,0,149164752.0,5.0,0.0,3560275290.0,57460.0,5.0,0.0,0.0,23.0,13504.0,1.0,61026.0,23.0,149164752.0,0.0,0.0,0.0,57434.0,108447465200.0,447773543420.0
2023-01-01,ZA100HRY,ST8000DM002,8001563222016,0,53733560.0,5.0,0.0,3702557602.0,57241.0,5.0,0.0,0.0,31.0,18497.0,1.0,71181.0,31.0,53733560.0,0.0,0.0,0.0,57213.0,108298893768.0,399830644340.0
2023-01-02,ZA100HRY,ST8000DM002,8001563222016,0,22865256.0,5.0,0.0,3708570504.0,57264.0,5.0,0.0,0.0,31.0,18500.0,1.0,71233.0,31.0,22865256.0,0.0,0.0,0.0,57236.0,108322159592.0,400024429636.0
2023-01-03,ZA100HRY,ST8000DM002,8001563222016,0,242811136.0,5.0,0.0,3714219577.0,57288.0,5.0,0.0,0.0,31.0,18507.0,1.0,71293.0,31.0,242811136.0,0.0,0.0,0.0,57260.0,108350029032.0,400216506076.0
2023-01-04,ZA100HRY,ST8000DM002,8001563222016,0,211691000.0,5.0,0.0,3720079329.0,57311.0,5.0,0.0,0.0,31.0,18511.0,1.0,71355.0,31.0,211691000.0,0.0,0.0,0.0,57283.0,108380704448.0,400400753652.0
2023-01-05,ZA100HRY,ST8000DM002,8001563222016,0,159567544.0,5.0,0.0,3726845998.0,57335.0,5.0,0.0,0.0,31.0,18515.0,1.0,71412.0,31.0,159567544.0,0.0,0.0,0.0,57307.0,108409230576.0,400566025260.0
2023-01-06,ZA100HRY,ST8000DM002,8001563222016,0,163455992.0,5.0,0.0,3732155422.0,57359.0,5.0,0.0,0.0,31.0,18525.0,1.0,71461.0,31.0,163455992.0,0.0,0.0,0.0,57331.0,108440861264.0,400783510380.0
2023-01-07,ZA100HRY,ST8000DM002,8001563222016,0,142652568.0,5.0,0.0,3738331149.0,57382.0,5.0,0.0,0.0,31.0,18532.0,1.0,71483.0,31.0,142652568.0,0.0,0.0,0.0,57354.0,108474639592.0,400975758740.0
2023-01-08,ZA100HRY,ST8000DM002,8001563222016,0,9079008.0,5.0,0.0,3746588119.0,57406.0,5.0,0.0,0.0,31.0,18536.0,1.0,71485.0,31.0,9079008.0,0.0,0.0,0.0,57378.0,108505492456.0,401056473004.0
2023-01-09,ZA100HRY,ST8000DM002,8001563222016,0,4627288.0,5.0,0.0,3752410684.0,57430.0,5.0,0.0,0.0,31.0,18541.0,1.0,71537.0,31.0,4627288.0,0.0,0.0,0.0,57402.0,108535482960.0,401266629796.0
2023-01-10,ZA100HRY,ST8000DM002,8001563222016,0,238372920.0,5.0,0.0,3758194442.0,57454.0,5.0,0.0,0.0,31.0,18547.0,1.0,71582.0,31.0,238372920.0,0.0,0.0,0.0,57426.0,108564185312.0,401471673076.0
2023-01-01,ZA100HS4,ST8000DM002,8001563222016,0,223975256.0,5.0,0.0,3680940759.0,57243.0,5.0,0.0,0.0,30.0,9971.0,2.0,70088.0,30.0,223975256.0,0.0,0.0,0.0,57216.0,108369580256.0,397724177490.0
2023-01-02,ZA100HS4,ST8000DM002,8001563222016,0,22353600.0,5.0,0.0,3685896991.0,57267.0,5.0,0.0,0.0,30.0,9973.0,2.0,70125.0,30.0,22353600.0,0.0,0.0,0.0,57240.0,108399092672.0,397984651810.0
2023-01-03,ZA100HS4,ST8000DM002,8001563222016,0,122798832.0,5.0,0.0,3690716893.0,57291.0,5.0,0.0,0.0,30.0,9980.0,2.0,70147.0,30.0,122798832.0,0.0,0.0,0.0,57263.0,108432352864.0,398297269362.0
2023-01-04,ZA100HS4,ST8000DM002,8001563222016,0,97003680.0,5.0,0.0,3696246217.0,57314.0,5.0,0.0,0.0,30.0,9987.0,2.0,70208.0,30.0,97003680.0,0.0,0.0,0.0,57287.0,108460191096.0,398491000634.0
2023-01-05,ZA100HS4,ST8000DM002,8001563222016,0,186907232.0,5.0,0.0,3702157371.0,57338.0,5.0,0.0,0.0,30.0,9989.0,2.0,70218.0,30.0,186907232.0,0.0,0.0,0.0,57310.0,108493253960.0,398794660986.0
2023-01-06,ZA100HS4,ST8000DM002,8001563222016,0,210445752.0,5.0,0.0,3707618910.0,57362.0,5.0,0.0,0.0,30.0,9990.0,2.0,70242.0,30.0,210445752.0,0.0,0.0,0.0,57334.0,108521234976.0,399035265602.0
2023-01-07,ZA100HS4,ST8000DM002,8001563222016,0,155787336.0,5.0,0.0,3714456474.0,57385.0,5.0,0.0,0.0,30.0,9994.0,2.0,70257.0,30.0,155787336.0,0.0,0.0,0.0,57358.0,108552209944.0,399194883674.0
2023-01-08,ZA100HS4,ST8000DM002,8001563222016,0,28583720.0,5.0,0.0,3723347054.0,57409.0,5.0,0.0,0.0,30.0,9995.0,2.0,70258.0,30.0,28583720.0,0.0,0.0,0.0,57382.0,108587352064.0,399281620890.0
2023-01-09,ZA100HS4,ST8000DM002,8001563222016,0,88194776.0,5.0,0.0,3728859837.0,57433.0,5.0,0.0,0.0,30.0,9996.0,2.0,70279.0,30.0,88194776.0,0.0,0.0,0.0,57405.0,108616354448.0,399557100634.0
2023-01-10,ZA100HS4,ST8000DM002,8001563222016,0,137174472.0,5.0,0.0,3734170072.0,57457.0,5.0,0.0,0.0,30.0,9999.0,2.0,70302.0,30.0,137174472.0,0.0,0.0,0.0,57429.0,108646126984.0,399825378754.0
2023-01-01,ZA100HS6,ST8000DM002,8001563222016,0,219035664.0,61.0,0.0,3815294399.0,56492.0,61.0,0.0,0.0,37.0,32446.0,14.0,63772.0,37.0,219035664.0,0.0,0.0,0.0,56414.0,105064541952.0,423786576896.0
2023-01-02,ZA100HS6,ST8000DM002,8001563222016,0,184798040.0,61.0,0.0,3819012264.0,56508.0,61.0,0.0,0.0,37.0,32451.0,14.0,63792.0,37.0,184798040.0,0.0,0.0,0.0,56430.0,105088929160.0,423975448184.0
2023-01-03,ZA100HS6,ST8000DM002,8001563222016,0,155927392.0,61.0,0.0,3827726255.0,56540.0,61.0,0.0,0.0,37.0,32456.0,14.0,63811.0,37.0,155927392.0,0.0,0.0,0.0,56462.0,105132972488.0,424392233392.0
2023-01-04,ZA100HS6,ST8000DM002,8001563222016,0,120092808.0,61.0,0.0,3831812550.0,56556.0,61.0,0.0,0.0,37.0,32460.0,14.0,63820.0,37.0,120092808.0,0.0,0.0,0.0,56478.0,105154176872.0,424580616952.0
2023-01-05,ZA100HS6,ST8000DM002,8001563222016,0,216386320.0,61.0,0.0,3840208926.0,56587.0,61.0,0.0,0.0,37.0,32464.0,14.0,63844.0,37.0,216386320.0,0.0,0.0,0.0,56509.0,105194167712.0,424882252096.0
2023-01-06,ZA100HS6,ST8000DM002,8001563222016,0,167363136.0,61.0,0.0,3843786930.0,56603.0,61.0,0.0,0.0,37.0,32473.0,14.0,63854.0,37.0,167363136.0,0.0,0.0,0.0,56525.0,105215651048.0,425056276096.0
2023-01-07,ZA100HS6,ST8000DM002,8001563222016,0,93161960.0,61.0,0.0,3850997502.0,56635.0,61.0,0.0,0.0,37.0,32479.0,14.0,63887.0,37.0,93161960.0,0.0,0.0,0.0,56557.0,105264343840.0,425422230600.0
2023-01-08,ZA100HS6,ST8000DM002,8001563222016,0,55057920.0,61.0,0.0,3854505853.0,56650.0,61.0,0.0,0.0,38.0,32485.0,14.0,63914.0,38.0,55057920.0,0.0,0.0,0.0,56572.0,105288146080.0,425607748008.0
2023-01-09,ZA100HS6,ST8000DM002,8001563222016,0,235752240.0,61.0,0.0,3861619376.0,56682.0,61.0,0.0,0.0,38.0,32494.0,14.0,63957.0,38.0,235752240.0,0.0,0.0,0.0,56604.0,105333188968.0,425991988248.0
2023-01-10,ZA100HS6,ST8000DM002,8001563222016,0,221773112.0,61.0,0.0,3865667395.0,56698.0,61.0,0.0,0.0,38.0,32496.0,14.0,63971.0,38.0,221773112.0,0.0,0.0,0.0,56620.0,105353825904.0,426202561576.0
2023-01-01,ZA100HWJ,ST8000DM002,8001563222016,0,231288848.0,27.0,0.0,3534162808.0,57115.0,27.0,0.0,0.0,34.0,137121.0,5.0,31746.0,34.0,231288848.0,0.0,0.0,0.0,57081.0,107712534344.0,459678643146.0
2023-01-02,ZA100HWJ,ST8000DM002,8001563222016,0,20283016.0,27.0,0.0,3539763841.0,57139.0,27.0,0.0,0.0,34.0,137125.0,5.0,31765.0,34.0,20283016.0,0.0,0.0,0.0,57104.0,107752529888.0,459919671570.0
